id,year,lustrum,count_by_lustrum,duration_minutes,genre,genre_simplified,word_plot_count,media_sentiment,topics_lustrum_keywords,count_female,count_male,female_presence,female_ratio,female_adj_percentage
9b78cd59-bdd5-46db-abfc-5794b764eb6e,2025,2025,64,93,Drama,Drama,46,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,2,0,0.0,0.0
57ac1fa6-cbad-49e5-bfd1-a48ee8ba47f7,2025,2025,64,100,Drama,Drama,44,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,0,0,0.0,0.0
b367eacd-b40d-4533-bb3c-055ce5f95274,2025,2025,64,75,AnimaciónComediaEspionajeAventuras,Comedia,92,NEG,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,2,0,0.0,7.6923076923076925
0a9d0037-7ddc-4358-b56d-69310d687164,2025,2025,64,94,Drama romántico,Drama,56,POS,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",3,2,1,0.6,75.0
4d129b88-b147-4090-970f-a86551939cb1,2025,2025,64,99,Comedia,Comedia,54,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,5,0,0.0,75.0
f9e906ec-1cc5-4c33-9485-6325093df553,2025,2025,64,96,Drama políticoDrama biográfico,Drama,34,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,2,0,0.0,0.0
29763403-33ed-4fd0-859d-545b1b300962,2025,2025,64,61,Documental,Documental,91,POS,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,4,0,0.0,14.285714285714285
fa66cadd-2177-4145-a20b-1203b0d8cb18,2025,2025,64,97,Drama y cine autobiográfico,Drama,63,NEG,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",0,1,0,0.0,25.0
82a5ac91-6ac6-450f-9599-9a15027c9756,2025,2025,64,97,Thriller,Suspenso,93,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",3,3,1,0.5,50.0
2b6d26be-019e-4cef-8a87-59fb0dc33651,2025,2025,64,115,"Drama, cine postapocalíptico y película de carretera",Drama,35,NEU,"Tópico 0: familia, joven, guerra, ven, vida, dos, marina, encuentra, ana, atrás | Tópico 1: estrenó, película, dirigida, distribución, cines, protagonizada, españoles, española, escrita, drama",1,6,1,0.14285714285714285,33.33333333333333
